West Climate Region, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199701,39.3,2.1
199702,41.8,1.1
199703,50.1,5.1
199704,51.4,0.4
199705,64.6,6.2
199706,66.6,0.1
199707,72.4,-1.3
199708,73.6,1.4
199709,67.7,2.0
199710,55.3,-0.6
199711,47.2,2.1
199712,37.2,-1.0
199801,41.0,3.8
199802,39.4,-1.3
199803,45.6,0.6
199804,48.4,-2.6
199805,52.9,-5.5
199806,63.0,-3.5
199807,75.1,1.4
199808,75.6,3.4
199809,66.6,0.9
199810,53.7,-2.2
199811,45.0,-0.1
199812,37.2,-1.0
199901,40.7,3.5
199902,41.1,0.4
199903,44.9,-0.1
199904,47.7,-3.3
199905,57.8,-0.6
199906,66.2,-0.3
199907,72.5,-1.2
199908,71.3,-0.9
199909,67.4,1.7
199910,59.8,3.9
199911,49.5,4.4
199912,40.0,1.8
200001,41.4,4.2
200002,43.5,2.8
200003,46.4,1.4
200004,55.2,4.2
200005,61.7,3.3
200006,70.5,4.0
200007,73.0,-0.7
200008,73.8,1.6
200009,66.2,0.5
200010,54.9,-1.0
200011,41.0,-4.1
200012,41.6,3.4
200101,37.1,-0.1
200102,38.6,-2.1
200103,49.0,4.0
200104,49.4,-1.6
200105,65.8,7.4
200106,69.6,3.1
200107,73.3,-0.4
200108,75.2,3.0
200109,68.9,3.2
200110,60.0,4.1
200111,47.4,2.3
200112,37.8,-0.4
200201,37.6,0.4
200202,42.9,2.2
200203,44.3,-0.7
200204,53.3,2.3
200205,59.1,0.7
200206,69.8,3.3
200207,77.0,3.3
200208,72.7,0.5
200209,67.7,2.0
200210,55.1,-0.8
200211,47.3,2.2
200212,39.7,1.5
200301,46.2,9.0
200302,40.9,0.2
200303,47.8,2.8
200304,47.6,-3.4
200305,60.0,1.6
200306,69.8,3.3
200307,78.0,4.3
200308,73.9,1.7
200309,69.6,3.9
200310,62.0,6.1
200311,42.3,-2.8
200312,39.6,1.4
200401,38.1,0.9
200402,39.3,-1.4
200403,53.2,8.2
200404,54.1,3.1
200405,60.5,2.1
200406,69.0,2.5
200407,75.1,1.4
200408,72.9,0.7
200409,66.2,0.5
200410,54.6,-1.3
200411,43.6,-1.5
200412,40.0,1.8
200501,39.3,2.1
200502,42.3,1.6
200503,47.2,2.2
200504,50.0,-1.0
200505,59.7,1.3
200506,64.3,-2.2
200507,77.4,3.7
200508,74.0,1.8
200509,64.1,-1.6
200510,56.5,0.6
200511,48.2,3.1
200512,41.0,2.8
200601,40.3,3.1
200602,42.5,1.8
200603,40.7,-4.3
200604,50.8,-0.2
200605,62.3,3.9
200606,71.4,4.9
200607,78.0,4.3
200608,72.3,0.1
200609,66.2,0.5
200610,55.0,-0.9
200611,46.7,1.6
200612,38.7,0.5
200701,35.7,-1.5
200702,42.6,1.9
200703,50.9,5.9
200704,53.4,2.4
200705,61.9,3.5
200706,69.3,2.8
200707,76.9,3.2
200708,74.8,2.6
200709,65.0,-0.7
200710,55.0,-0.9
200711,48.8,3.7
200712,36.3,-1.9
200801,35.6,-1.6
200802,41.2,0.5
200803,46.2,1.2
200804,50.6,-0.4
200805,58.6,0.2
200806,68.8,2.3
200807,75.6,1.9
200808,75.2,3.0
200809,68.5,2.8
200810,57.8,1.9
200811,50.0,4.9
200812,37.1,-1.1
200901,41.7,4.5
200902,41.2,0.5
200903,45.4,0.4
200904,50.9,-0.1
200905,64.2,5.8
200906,65.4,-1.1
200907,76.1,2.4
200908,73.0,0.8
200909,70.4,4.7
200910,53.9,-2.0
200911,46.7,1.6
200912,35.3,-2.9
201001,40.1,2.9
201002,42.3,1.6
201003,45.3,0.3
201004,48.1,-2.9
201005,53.7,-4.7
201006,67.4,0.9
201007,75.3,1.6
201008,72.0,-0.2
201009,67.8,2.1
201010,57.4,1.5
201011,44.0,-1.1
201012,41.6,3.4
201101,40.1,2.9
201102,39.1,-1.6
201103,45.4,0.4
201104,49.7,-1.3
201105,54.8,-3.6
201106,65.0,-1.5
201107,73.3,-0.4
201108,74.0,1.8
201109,69.5,3.8
201110,57.7,1.8
201111,43.8,-1.3
201112,37.9,-0.3
201201,41.8,4.6
201202,41.6,0.9
201203,46.2,1.2
201204,53.4,2.4
201205,61.5,3.1
201206,68.0,1.5
201207,74.3,0.6
201208,76.3,4.1
201209,70.2,4.5
201210,58.6,2.7
201211,48.8,3.7
201212,38.2,0.0
201301,35.5,-1.7
201302,40.4,-0.3
201303,50.0,5.0
201304,54.2,3.2
201305,60.8,2.4
201306,70.8,4.3
201307,77.3,3.6
201308,73.3,1.1
201309,66.5,0.8
201310,54.2,-1.7
201311,47.7,2.6
201312,37.6,-0.6
201401,44.8,7.6
201402,45.4,4.7
201403,49.3,4.3
201404,54.1,3.1
201405,61.6,3.2
201406,69.8,3.3
201407,77.4,3.7
201408,72.7,0.5
201409,69.5,3.8
201410,60.7,4.8
201411,48.3,3.2
201412,42.2,4.0
201501,44.2,7.0
201502,48.9,8.2
201503,53.1,8.1
201504,53.0,2.0
201505,58.6,0.2
201506,73.0,6.5
201507,73.3,-0.4
201508,74.9,2.7
201509,69.6,3.9
201510,61.4,5.5
201511,42.8,-2.3
201512,37.5,-0.7
201601,39.0,1.8
